"","IdCirc","nom2011","nom2015","nom2019","nameChange"
"253",47008,"Regina--Qu'Appelle","Regina--Qu'Appelle ","Regina--Qu'Appelle",1
"254",47009,"Saskatoon--Humboldt","Regina--Wascana ","Regina--Wascana",1
"255",47010,"Saskatoon--Rosetown--Biggar","Saskatoon--Grasswood","Saskatoon--Grasswood",1
"256",47011,"Saskatoon--Wanuskewin","Saskatoon--University","Saskatoon--University",1
"257",47012,"Souris--Moose Mountain","Saskatoon-Ouest","Saskatoon-Ouest",1
"258",47013,"Wascana","Souris--Moose Mountain ","Souris--Moose Mountain",1
"259",47014,"Yorkton--Melville","Yorkton--Melville ","Yorkton--Melville",1
"260",48001,"Fort McMurray--Athabasca","Banff--Airdrie","Banff--Airdrie",1
"261",48002,"Calgary-Est","Battle River--Crowfoot","Battle River--Crowfoot",1
"262",48003,"Calgary-Centre-Nord","Bow River","Bow River",1
"263",48004,"Calgary-Nord-Est","Calgary-Centre","Calgary-Centre",1
"264",48005,"Calgary--Nose Hill","Calgary Confederation","Calgary Confederation",1
"265",48006,"Calgary-Centre","Calgary Forest Lawn","Calgary Forest Lawn",1
"266",48007,"Calgary-Sud-Est","Calgary Heritage","Calgary Heritage",1
"267",48008,"Calgary-Sud-Ouest","Calgary Midnapore","Calgary Midnapore",1
"268",48009,"Calgary-Ouest","Calgary Nose Hill","Calgary Nose Hill",1
"269",48010,"Crowfoot","Calgary Rocky Ridge","Calgary Rocky Ridge",1
"270",48011,"Edmonton--Mill Woods--Beaumont","Calgary Shepard","Calgary Shepard",1
"271",48012,"Edmonton-Centre","Calgary Signal Hill","Calgary Signal Hill",1
"272",48013,"Edmonton-Est","Calgary Skyview","Calgary Skyview",1
"273",48014,"Edmonton--Leduc","Edmonton-Centre","Edmonton-Centre",1
"274",48015,"Edmonton--St. Albert","Edmonton Griesbach","Edmonton Griesbach",1
"275",48016,"Edmonton--Sherwood Park","Edmonton Manning","Edmonton Manning",1
"276",48017,"Edmonton--Spruce Grove","Edmonton Mill Woods","Edmonton Mill Woods",1
"277",48018,"Edmonton--Strathcona","Edmonton Riverbend","Edmonton Riverbend",1
"278",48019,"Lethbridge","Edmonton Strathcona","Edmonton Strathcona",1
"279",48020,"Macleod","Edmonton-Ouest","Edmonton-Ouest",1
"280",48021,"Medicine Hat","Edmonton--Wetaskiwin","Edmonton--Wetaskiwin",1
"281",48022,"Peace River","Foothills","Foothills",1
"282",48023,"Red Deer","Fort McMurray--Cold Lake","Fort McMurray--Cold Lake",1
"283",48024,"Vegreville--Wainwright","Grande Prairie--Mackenzie","Grande Prairie--Mackenzie",1
"284",48025,"Westlock--St. Paul","Lakeland","Lakeland",1
"285",48026,"Wetaskiwin","Lethbridge","Lethbridge",1
"286",48027,"Wild Rose","Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner",1
"287",48028,"Yellowhead","Peace River--Westlock","Peace River--Westlock",1
"288",48029,NA,"Red Deer--Mountain View","Red Deer--Mountain View",NA
"289",48030,NA,"Red Deer--Lacombe","Red Deer--Lacombe",NA
"290",48031,NA,"St. Albert--Edmonton","St. Albert--Edmonton",NA
"291",48032,NA,"Sherwood Park--Fort Saskatchewan","Sherwood Park--Fort Saskatchewan",NA
"292",48033,NA,"Sturgeon River--Parkland","Sturgeon River--Parkland",NA
"293",48034,NA,"Yellowhead","Yellowhead",NA
"294",59001,"Abbotsford","Abbotsford","Abbotsford",0
"295",59002,"Burnaby--Douglas","Burnaby-Nord--Seymour","Burnaby-Nord--Seymour",1
"296",59003,"Burnaby--New Westminster","Burnaby-Sud","Burnaby-Sud",1
"297",59004,"Cariboo--Prince George","Cariboo--Prince George","Cariboo--Prince George",0
"298",59005,"Chilliwack--Fraser Canyon","Central Okanagan--Similkameen--Nicola","Central Okanagan--Similkameen--Nicola",1
"299",59006,"Delta--Richmond-Est","Chilliwack--Hope","Chilliwack--Hope",1
"300",59007,"Pitt Meadows--Maple Ridge--Mission","Cloverdale--Langley City","Cloverdale--Langley City",1
"301",59008,"Esquimalt--Juan de Fuca","Coquitlam--Port Coquitlam","Coquitlam--Port Coquitlam",1
"302",59009,"Fleetwood--Port Kells","Courtenay--Alberni","Courtenay--Alberni",1
"303",59010,"Kamloops--Thompson--Cariboo","Cowichan--Malahat--Langford","Cowichan--Malahat--Langford",1
"304",59011,"Kelowna--Lake Country","Delta","Delta",1
"305",59012,"Kootenay--Columbia","Fleetwood--Port Kells","Fleetwood--Port Kells",1
"306",59013,"Langley","Kamloops--Thompson--Cariboo","Kamloops--Thompson--Cariboo",1
"307",59014,"Nanaimo--Alberni","Kelowna--Lake Country","Kelowna--Lake Country",1
"308",59015,"Nanaimo--Cowichan","Kootenay--Columbia","Kootenay--Columbia",1
"309",59016,"Newton--Delta-Nord","Langley--Aldergrove","Langley--Aldergrove",1
"310",59017,"New Westminster--Coquitlam","Mission--Matsqui--Fraser Canyon","Mission--Matsqui--Fraser Canyon",1
"311",59018,"Okanagan--Shuswap","Nanaimo--Ladysmith","Nanaimo--Ladysmith",1
"312",59019,"North Vancouver","New Westminster--Burnaby","New Westminster--Burnaby",1
"313",59020,"Okanagan--Coquihalla","North Okanagan--Shuswap","North Okanagan--Shuswap",1
"314",59021,"Port Moody--Westwood--Port Coquitlam","North Vancouver","North Vancouver",1
"315",59022,"Prince George--Peace River","Pitt Meadows--Maple Ridge","Pitt Meadows--Maple Ridge",1
"316",59023,"Richmond","Port Moody--Coquitlam","Port Moody--Coquitlam",1
